Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance
SH3D19,10.000448769371012,11.994644736842105,-0.24035481173481993,8.537016444805899e-63,62.06869388199855,Not Significant
CDC14B,7.554211121239745,9.615743859649122,-0.31149874735620464,9.561499523713868e-63,62.01947399226309,Not Significant
SLC17A7,3.3519720145852325,6.608235087719298,-0.8058925455368229,9.789861986095567e-63,62.00922343067895,Not Significant
PAQR4,10.01364229717411,7.517235087719298,0.3708345824167188,1.083542606811083e-62,61.96515400678151,Not Significant
SLC22A12,0.22050191431175936,2.4777096491228074,-1.510662930415714,1.0975140205090498e-62,61.95958992303042,Downregulated
CHRDL1,6.803288149498633,12.172376315789474,-0.7553615533191212,1.154749047829548e-62,61.937512387187105,Not Significant
EZH1,9.379456426618049,10.801186842105263,-0.18520106676456,1.2278357515225813e-62,61.9108597251967,Not Significant
UHRF1,8.449382680036463,4.758854385964914,0.7144382387983104,1.2810868050625102e-62,61.892421441931816,Not Significant
CCDC46,6.308451230628989,8.441784210526315,-0.36949380084693223,1.3024038217951548e-62,61.88525433805215,Not Significant
STAT5B,10.523414949863264,11.855329824561402,-0.15779830430651628,1.358864610419906e-62,61.866823811756575,Not Significant
SIK2,9.029893436645395,11.264273684210528,-0.2901555190152331,1.4144213038600007e-62,61.84942121098544,Not Significant
TPX2,10.231976207839564,6.8187070175438595,0.5226098314057974,1.4722598026601295e-62,61.83201554536147,Not Significant
NPR1,7.066875387420238,10.576402631578944,-0.5211051300532119,1.5396738606627857e-62,61.812571263264076,Not Significant
IQGAP3,9.117244029170465,5.121845614035088,0.7247777813222691,1.6139736913059786e-62,61.79210354880463,Not Significant
RUSC1,10.362106198723792,9.037681578947367,0.17880420671767155,1.7199574204072152e-62,61.76448230443611,Not Significant
SPTBN1,12.389185414767546,14.283942105263158,-0.19094850682258888,1.752673701395283e-62,61.75629892981256,Not Significant
LEPR,7.33234548769371,10.540926315789472,-0.4699644596371042,1.8285905578851328e-62,61.737883527086424,Not Significant
HSD17B6,6.393089699179581,3.4638657894736835,0.7278837656624424,1.9303561026415644e-62,61.71436256708213,Not Significant
TGFBR2,10.74343810391978,13.153838596491227,-0.2693385273529953,1.94862526383764e-62,61.710271671141555,Not Significant
HOXA4,4.53219453053783,7.396929824561402,-0.6020100433025968,1.96706485119017e-62,61.70618132180422,Not Significant
AURKA,8.627410209662717,5.8085271929824565,0.49980501167119756,1.981006917108146e-62,61.703114008027,Not Significant
C18orf34,2.5174587967183224,6.0304850877193,-0.9990907115318667,1.999911799263055e-62,61.69898915730503,Not Significant
TRPM3,0.671221422060164,3.135171929824561,-1.3070444237985688,2.0216193649963085e-62,61.69430061098191,Downregulated
TPM3,13.402734092980857,12.24982105263158,0.12036983138392032,2.0473605376018485e-62,61.68880567189369,Not Significant
CDK1,9.548096718322698,6.515925438596491,0.4889600450831099,2.223191426431712e-62,61.65302314105102,Not Significant
GPRIN1,7.379530264357338,4.817687719298246,0.5264235144778072,2.4773226308845263e-62,61.606017429954946,Not Significant
MAB21L1,4.026939106654512,7.264333333333333,-0.7172182317972321,2.4888769699626957e-62,61.603996570883126,Not Significant
SLC2A4,4.059077210574293,8.42136403508772,-0.897061692457782,2.8260864579133754e-62,61.5488145559976,Not Significant
TK1,9.961032816773018,6.92787543859649,0.4673775439737619,3.208608504531712e-62,61.4936832697209,Not Significant
IBSP,4.4982010027347314,0.31575614035087723,2.063067522135896,3.2429532076780805e-62,61.48905931768343,Upregulated
H2AFY,12.243117958067456,11.154231578947371,0.12378414463536164,3.566463422377682e-62,61.44776222574143,Not Significant
CDCA8,8.506831358249773,5.7269228070175435,0.49901786568283624,3.6086446274875396e-62,61.4426558843357,Not Significant
DST,11.491973928896993,14.232931578947369,-0.28619215179673296,3.782223231427751e-62,61.422252842144545,Not Significant
FOXO1,8.954456517775752,10.929991228070175,-0.26117852567631816,3.936295118219215e-62,61.40491234839888,Not Significant
KIAA0408,1.9380554238833183,7.469978947368421,-1.5274967723090205,3.95053028515541e-62,61.4033446045104,Downregulated
ATOH8,4.902152142206016,8.733871929824561,-0.7217726827688106,4.154762707423025e-62,61.38145377520108,Not Significant
VIT,4.358096900638104,8.741655263157893,-0.8624462577066357,4.3121887239619805e-62,61.365302240404404,Not Significant
NIPSNAP3B,4.563075022789427,7.232988596491228,-0.5655336661226809,4.500014393118299e-62,61.34678609714869,Not Significant
C7orf41,9.520253418413857,11.969742982456143,-0.3019804328287237,4.7163025638096875e-62,61.3263983414951,Not Significant
HEPACAM,1.7719344576116682,6.940306140350878,-1.5183014865283793,4.805375294226006e-62,61.31827268877656,Downregulated
C16orf59,6.872623154056517,3.998233333333333,0.6554261685323591,5.108029632280933e-62,61.291746592007925,Not Significant
SYNM,9.288474749316316,13.519178947368426,-0.49693075117993096,5.378637550546889e-62,61.26932772047016,Not Significant
CHL1,6.152287329079307,10.267941228070175,-0.6557473437247994,5.429288855348636e-62,61.26525705188884,Not Significant
LHFP,9.112594439380128,11.354846491228072,-0.28892390957308467,6.752420876469555e-62,61.17054049608742,Not Significant
TSHZ2,5.990833272561531,9.180009649122807,-0.5422025958356406,6.864158057718832e-62,61.16341272475073,Not Significant
ATP1A2,4.54076417502279,9.858415789473682,-0.9706567638432841,7.035855703265864e-62,61.15268307596813,Not Significant
TROAP,7.628298176845943,3.8353561403508776,0.8354538810449316,7.261301679303819e-62,61.13898551959382,Not Significant
ANKRD29,5.104473381950775,8.118547368421051,-0.5789371711473686,7.681389620147125e-62,61.114560205779775,Not Significant
FAM126A,8.068417411121239,10.364594736842104,-0.3256235346721872,8.202133842293015e-62,61.086073148180084,Not Significant
NAALAD2,3.5292339106654516,6.663302631578947,-0.7586992315333775,8.357286101804233e-62,61.07793473002045,Not Significant
GABARAPL1,9.62479872379216,11.200155263157892,-0.199463997021435,9.135027367483596e-62,61.03929014721354,Not Significant
TCEAL7,4.586058158614403,7.159821929824561,-0.5467070747398487,1.0031917241879122e-61,60.9986160592031,Not Significant
HOXA5,4.346310300820419,7.48281754385965,-0.6659999571714849,1.0221462183045385e-61,60.99048697380931,Not Significant
HPSE2,1.3645579762989972,5.545119298245614,-1.468848973003932,1.073795789266525e-61,60.96907830339187,Downregulated
ZWINT,9.446080765724703,6.9185105263157896,0.399660773656506,1.1490243777803683e-61,60.93967075719232,Not Significant
ITPRIPL1,4.047634548769372,6.9260754385964916,-0.6509992363478931,1.264685230633214e-61,60.89801755323102,Not Significant
WDR62,7.581975205104831,4.43706052631579,0.6584828443218127,1.303726739962059e-61,60.88481342682715,Not Significant
IGFBP6,7.031934548769371,10.320040350877195,-0.49505968263338124,1.3345691642204148e-61,60.87465891392525,Not Significant
RHOJ,7.031890701914311,8.927778947368422,-0.30573135546845803,1.4517619525445865e-61,60.83810458967708,Not Significant
PLK1,8.817547675478577,5.341330701754387,0.6305770831906181,1.4722649684963022e-61,60.83201402152023,Not Significant
CXCL2,4.072088514129444,8.608936842105264,-0.9217968937930316,1.5352752062107268e-61,60.81381376362281,Not Significant
GPR146,6.357394712853236,9.08462894736842,-0.4548911056732099,1.5645091449355605e-61,60.80562189395375,Not Significant
KL,4.718411394712853,7.7128499999999995,-0.6075302917411728,1.73391616842024e-61,60.76097190367215,Not Significant
TMEM132C,3.625552871467639,9.229250877192984,-1.145002775613039,1.7623688165421776e-61,60.753903200221494,Downregulated
AQP7P1,1.9610290793072016,7.250170175438597,-1.478325219166708,1.827719185823372e-61,60.73809052928908,Downregulated
