PC1,PC2,Sample_Type,Cluster
26.94477482970014,-65.24137111241694,Tumor,0
42.81336364841176,-19.081435975650926,Tumor,0
0.4460445685731538,-29.404244633645753,Tumor,0
1.2064070181876527,-42.8516859733246,Tumor,0
19.428014684487668,5.856171199373939,Tumor,0
-41.222119075510804,-51.68099221976947,Tumor,1
15.617993769981014,-27.695238074820086,Tumor,0
-5.786735869652738,-47.5536487298291,Tumor,0
-2.786630897924741,-71.5929735446116,Tumor,0
-29.994216096899567,-39.49111923690836,Tumor,1
0.37695178318158645,-53.926336238125536,Tumor,0
13.974451432981752,-28.570389404608175,Tumor,0
26.76934200280322,-36.525634655516015,Tumor,0
0.19521923188781692,-48.35211693651118,Tumor,0
61.54419086806419,-45.03022778831523,Tumor,0
9.885565774766535,-46.94895407333372,Tumor,0
-13.350787942095574,2.9961660336848093,Tumor,1
-23.564872548321986,-32.61913771582813,Tumor,1
35.13243285332536,-15.934115926359677,Tumor,0
32.76644052739085,-37.871477400568274,Tumor,0
18.75138543824054,-0.4315391482702603,Tumor,0
35.58647950496726,-0.5727558809333554,Tumor,0
5.740421338618475,21.16672501651751,Tumor,0
-4.205567088326711,-36.0349271685124,Tumor,0
30.874181116807904,-63.35190609933933,Tumor,0
30.206347886573443,-38.15174694479949,Tumor,0
47.48133417327082,-25.856818379497174,Tumor,0
43.211747875223445,-16.572828109342144,Tumor,0
-1.7258898607200115,47.00668078972279,Tumor,1
7.5007460689054195,-49.55360062457821,Tumor,0
97.21913160184336,57.869878611597905,Normal,0
46.44557403274965,1.8346155361095544,Tumor,0
-1.7831025062126882,-1.6524106114015418,Tumor,0
11.340905158781085,-54.385471515721996,Tumor,0
45.865713371879785,14.36475398638912,Tumor,0
60.36481035680396,76.22145228877955,Normal,0
-3.868340597673829,21.134118058043338,Tumor,0
62.9429131868529,33.73607894685133,Tumor,0
48.410271297840445,49.199449127144646,Normal,0
31.802925105123418,4.167377384480287,Tumor,0
75.40434590897216,34.551967086954164,Tumor,0
-18.240655596515627,-42.02875350876789,Tumor,0
-52.823138351777224,82.3815670517788,Normal,1
29.952003131733917,14.418915548583191,Tumor,0
-9.81724607735521,45.623178092261696,Tumor,1
-2.8533895889032594,5.232882907729637,Tumor,0
-174.99822863549207,121.09028124773407,Tumor,1
-28.765653948574773,40.126417526462554,Tumor,1
-40.516503826611604,-20.6485028184457,Tumor,1
18.122214549565093,27.1594705174428,Tumor,0
18.70947296732924,14.419817068987468,Tumor,0
-67.66496226292975,38.05103571226279,Tumor,1
-145.5260661784255,19.688929265544378,Tumor,1
-139.3120590920393,29.068768359115428,Tumor,1
-95.18253164269618,-4.068719998576121,Tumor,1
-34.712304127601904,43.82078506247364,Tumor,1
-30.408688474526084,47.15960528127535,Tumor,1
-8.085250801649952,18.69997027745473,Tumor,1
0.4646703029591771,46.942883727918336,Tumor,0
-81.39739470142355,-8.637110697712526,Tumor,1
-5.707346590566226,-20.325381317146057,Tumor,0
-36.71664265615,4.98047343959037,Tumor,1
-56.404603306678425,15.570752555211204,Tumor,1
-37.180339016347965,-14.892006569554503,Tumor,1
-144.66415590361817,-5.668982163354619,Tumor,1
-67.74894211285294,16.773069725094008,Tumor,1
-25.498974212813753,-2.5899731200616904,Tumor,1
11.99248120712305,48.54963375738857,Tumor,0
-77.2153524414884,55.27328739839641,Tumor,1
13.270989453955584,16.19712198221615,Tumor,0
-32.73609262790157,-22.330463099822857,Tumor,1
-46.63006805927322,-60.52621143675794,Tumor,1
-72.9147797331947,81.30784893885074,Tumor,1
6.278016075144641,-4.4367130061012645,Tumor,0
-28.88365585434082,70.7201880191889,Tumor,1
-40.451213824099696,-20.91435309815952,Tumor,1
21.506427820480706,35.422380736721934,Tumor,0
-7.909407285000313,-19.565137637274265,Tumor,0
-30.36792568941763,-37.50257679187502,Tumor,1
26.877378509892484,-28.48924502208714,Tumor,0
-16.091412847700642,-11.588019418447814,Tumor,1
-6.300375418398417,-27.010792283516935,Tumor,0
2.2803685898266544,-17.442192897947894,Tumor,0
-59.7019062466367,-8.467727828599346,Tumor,1
-52.348601395839395,-6.581102662882484,Tumor,1
-18.679568825458233,-36.54022780127435,Tumor,0
-38.72841897155675,-68.6080944518597,Tumor,1
-29.234460169589795,41.8459879385743,Tumor,1
-47.91781659586652,-0.6921580831721825,Tumor,1
-66.0902612368353,27.63348026606011,Tumor,1
-3.836908979895451,-2.4346571498183,Tumor,0
-25.071748433335028,15.272109682906121,Tumor,1
-24.05225943506516,-17.013727978576593,Tumor,1
0.7864544589333429,-28.374197760356285,Tumor,0
-8.316758943373188,26.072327435723135,Tumor,1
-20.49497822463017,-53.83147115652185,Tumor,0
-68.53028974430553,10.21332062031147,Tumor,1
36.12861092102316,41.71351433191489,Tumor,0
31.813341667413813,-5.73636750915959,Tumor,0
-74.82756634802176,-2.401884124456844,Tumor,1
-7.782766860589629,-25.280004869872407,Tumor,0
-8.313694198974298,-34.98395460576367,Tumor,0
0.5728388482776423,41.171153850288526,Tumor,0
-7.265777534603958,-17.526155111126393,Tumor,0
-1.5177779864409646,-44.44467023921134,Tumor,0
-1.6600709478854598,-6.646745627012562,Tumor,0
35.55037614516465,0.13691544986471818,Tumor,0
37.930258060508116,11.173681556705866,Tumor,0
5.6990258647766225,-30.64381542814137,Tumor,0
13.546971619738208,-48.637886456516746,Tumor,0
-34.486487201623426,-54.564107163935255,Tumor,1
-0.8774898946199692,0.5010530670805455,Tumor,0
22.209221015891625,-24.214587436660636,Tumor,0
8.223633539810388,24.65209142100368,Tumor,0
32.145264396020586,-8.971065158180458,Tumor,0
16.88337711713376,1.5900131798313597,Tumor,0
-8.764679744454693,-26.03030992581049,Tumor,0
-11.704831044583953,-9.769928880160313,Tumor,0
-44.58445807205108,-26.769393220059484,Tumor,1
-5.06335422413753,-50.32556938680117,Tumor,0
-11.209212077449525,-52.02853887654465,Tumor,0
-56.472119320325575,3.5919367106960185,Tumor,1
-72.1893571448562,7.956374380135874,Tumor,1
36.31130651338359,42.46162959119129,Tumor,0
9.746092200105904,-20.659215734017412,Tumor,0
-65.06003432443127,-2.1330773206214744,Tumor,1
-36.988784235418635,-73.84576170616877,Tumor,1
4.905849619695369,39.11218290158801,Tumor,0
31.235701219105888,-6.882762024034337,Tumor,0
-42.46604431134832,16.302325574141882,Tumor,1
-32.136827377635846,-61.82697359455839,Tumor,1
-0.19151531721680234,-31.036101351983255,Tumor,0
-24.08575450354925,44.52487828614351,Tumor,1
30.429929730690443,-19.492646395666906,Tumor,0
-100.98531913031978,47.55273307661408,Tumor,1
17.031381831526005,57.935492108551884,Tumor,0
-1.719378194475132,-50.47930255459967,Tumor,0
-1.9745117797951592,9.146097307148272,Tumor,0
51.15156766585368,7.072401719402728,Tumor,0
43.28046062640359,-10.82283236595522,Tumor,0
11.6917180826049,-62.379410599486555,Tumor,0
25.6535669610564,11.79854459010275,Tumor,0
-64.62042363259052,43.024782149008544,Tumor,1
-21.32067675164836,-26.382815612528617,Tumor,1
-9.315438077281684,10.717779072519924,Tumor,1
-42.22817426587251,-55.97981897875622,Tumor,1
-55.709342037434205,16.077406836400588,Tumor,1
-7.040774423180693,31.768170085724986,Tumor,1
-59.35980809117303,57.88485098901753,Tumor,1
26.28406873739973,4.166810641931001,Tumor,0
-41.22664762004789,-52.622398667880155,Tumor,1
29.787217425117767,-16.985635998916216,Tumor,0
20.101801933939505,10.12743310273783,Tumor,0
15.926884131384957,-8.948386835145374,Tumor,0
-24.011943692689602,30.646611107807967,Tumor,1
-16.507335138578192,-11.645224335786159,Tumor,1
-14.892213506478178,-43.20657070548692,Tumor,0
98.5394215505652,22.37608735803639,Tumor,0
18.60712627101599,-68.90010212629511,Tumor,0
-64.69709223326367,-25.780614610271368,Tumor,1
-118.03123747280375,35.26355147325292,Tumor,1
89.19534975478791,-66.29618968600381,Tumor,0
-20.78789130882447,-18.27033659203738,Tumor,1
13.361466983839692,-55.00082290912935,Tumor,0
21.57083574090743,55.27204297899527,Tumor,0
-22.147050630881125,-8.244089219367275,Tumor,1
36.54895527993782,-24.23894041468022,Tumor,0
-21.60658157775709,-51.36178587940955,Tumor,0
47.59429390674122,-19.243360849251676,Tumor,0
-119.69110236009678,37.73819757987692,Tumor,1
-111.04677938673642,-8.437399471618031,Tumor,1
14.978138687131727,42.72527701151805,Tumor,0
0.956115565140806,22.37253485291149,Tumor,0
-4.319558226147076,-23.1004670703665,Tumor,0
15.39026641012973,-80.69729068695621,Tumor,0
31.13409669203293,44.81719004408734,Tumor,0
12.09675514169903,5.5347193178766,Tumor,0
-53.01105049424307,9.880308730889007,Tumor,1
-26.44194330208406,-39.44477732248276,Tumor,1
-20.102712013267144,-54.093201174996494,Tumor,0
18.932164659962307,4.503834222133225,Tumor,0
-11.74740397948184,-44.21027743887123,Tumor,0
29.19333604640791,-64.53843044632234,Tumor,0
-23.213559822229517,13.124476723259725,Tumor,1
-35.62909206605389,37.14710595859544,Tumor,1
36.4970883009904,-64.8377681987184,Tumor,0
21.43320010279678,-58.55230073279465,Tumor,0
0.5862598889068521,28.653660303358045,Tumor,0
-5.982201454015855,-4.037378233875749,Tumor,0
3.5216526698561363,13.052162695897723,Tumor,0
22.08312681308583,45.447398013391265,Tumor,0
19.595809042966025,9.403600908111123,Tumor,0
70.69508769450103,3.5144002303585973,Tumor,0
-1.2756782661003072,15.988852410699007,Tumor,0
19.76741615675997,-0.048795231077539795,Tumor,0
17.5882930478255,58.427627881760394,Tumor,0
1.6494684580245922,-11.979010021654148,Tumor,0
-32.88419877429794,40.853623777534985,Tumor,1
